ЧАСТЬ 0: Приближенные фокусы линз,,,,
Линза,f (см),,,
5.1,7.4,,,
5.2,15.8,,,
5.3,21.2,,,
5.4,33.3,,,
5.5,-9.5,,,
5.6,6.0,,,
,,,,
ЧАСТЬ 1: Метод подзорной трубы,,,,
Линза,f (см),,,
5.1,8.1,,,
5.2,15.8,,,
5.3,20.3,,,
5.4,31.0,,,
5.6,5.7,,,
"Рассеивающая линза 5.5: b1=67 см, l=57.6 см, f≈-9.4 см",,,,
,,,,
ЧАСТЬ 2: Метод Бесселя,,,,
Линза,L (см),a1 (см),a2 (см),l=a2-a1 (см)
5.1,39.8,10.3,27.9,17.599999999999998
5.6,24.0,7.1,15.5,8.4
,,,,
ЧАСТЬ 3: Метод Аббе,,,,
Линза,a (см),b (см),y0 (см),y (см)
5.6,7.1,16.9,1.45,2.85
5.6,5.2,36.9,1.45,4.65
5.1,12.4,19.4,1.45,2.0
5.1,10.6,25.8,1.45,3.4
,,,,
ЧАСТЬ 4: Телескоп,,,,
Объектив,Окуляр,Длина (см),Клеток до,Клеток после
5.2,5.1,22.2,11,6
,,,,
ЧАСТЬ 5: Микроскоп,,,,
y0 (см),y (см),,,
0.5,6.0,,,
"Расстояния: источник-5.1=9.4 см, 5.1-5.6=37.5 см, 5.6-экран=29.0 см",,,,
,,,,
ЧАСТЬ 6: Составная линза (Бессель),,,,
L (см),a1 (см),a2 (см),l (см),
60.0,17.2,42.0,24.8,
70.2,30.1,42.0,11.899999999999999,
80.5,25.8,53.0,27.2,
90.0,19.5,64.0,44.5,
100.0,19.7,74.8,55.099999999999994,
110.0,18.0,83.5,65.5,
120.0,18.0,95.2,77.2,
