m;Z, мм;;;;;
0;18,01;Светофильтр l = 6300 - 6700 Å;;;;
1;18,08;Длина кюветы 10 см;;;;
2;18,17;;;;;
3;18,24;;;;;
4;18,34;;;;;
5;18,41;;;;;
6;18,49;;;;;
7;18,58;;;;;
8;18,66;;;;;
9;18,74;;;;;
10;18,83;;;;;
-1;17,91;;;;;
-2;17,82;;;;;
-3;17,73;;;;;
-4;17,65;;;;;
-5;17,57;;;;;
-6;17,48;;;;;
-7;17,39;;;;;
-8;17,30;;;;;
-9;17,22;;;;;
-10;17,14;;;;;

P, мм водного столба;Z, мм;
-100;18,01;
-200;18,03;
-300;18,08;
-400;18,12;
-500;18,14;
-600;18,20;
-700;18,24;
-800;18,26;
-900;18,28;
-1000;18,32;
-1100;18,35;
-1200;18,37;


T, мин;Z, мм
;7,5 минут - смещение на одну полосу
;21 минута - смещение на две
;440 мкм  - где то уезжает
